"CLINIC_ID","STRIPE_SUBSCRIPTION_ID","SUBSCRIPTION_START_DATE","SUBSCRIPTION_END_DATE","SUBSCRIPTION_CURRENT_PERIOD_STARTED_AT","SUBSCRIPTION_CURRENT_PERIOD_ENDS_AT","MOST_RECENT_INVOICE_CREATED_AT","LAST_PAYMENT_AT","CHECKOUT_STATUS","SUBSCRIPTION_STATUS","BILLING_INTERVAL_IN_MONTHS","FIRST_PAYMENT_METHOD_TYPE","FIRST_CARD_BRAND","FIRST_PAYMENT_AMOUNT","FIRST_PAYMENT_AMOUNT_OFF","FIRST_PAYMENT_PROMOTION_CODE","FIRST_PAYMENT_COUPON_ID","FIRST_PAYMENT_AMOUNT_OFF_2"
9085,"sub_1NduvJCpjOdJI4gT7OCigi9u","2023-08-11",,"2023-10-11 09:58:37.000","2023-11-11 09:58:37.000","2023-10-11 10:03:01.000","2023-10-11 11:04:44.000","complete","active","1","Cartão de Crédito","visa",62.93,,,,
9463,"sub_1NdvraCpjOdJI4gTtqNEHG39","2023-08-11",,"2023-08-11 10:58:50.000","2024-08-11 10:58:50.000","2023-08-11 10:58:51.000",,"complete","active","12","Cartão de Crédito","mastercard",419.4,,"PREP50","dV87G5C6",
9092,"sub_1Ne1UACpjOdJI4gTPx3mc0nR","2023-08-11",,"2023-08-11 16:59:02.000","2024-02-11 16:59:02.000","2023-08-11 16:59:02.000","2023-08-14 21:12:37.000","complete","active","6","Boleto",,335.58,,"CAPIM30","oUu4Feil",
9277,"sub_1NeitDCpjOdJI4gTYrB7QoqI","2023-08-13",,"2023-10-13 15:19:47.000","2023-11-13 15:19:47.000","2023-10-13 15:38:47.000","2023-10-13 16:39:59.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9033,"sub_1NepitCpjOdJI4gTP3wbkKAQ","2023-08-13","2023-09-19","2023-09-13 22:37:35.000","2023-10-13 22:37:35.000","2023-09-13 22:40:17.000","2023-08-13 22:37:37.000","complete","canceled","1","Cartão de Crédito","visa",89.9,,,,
9248,"sub_1Nf5esCpjOdJI4gTkWMzqdWE","2023-08-14",,"2023-10-14 15:38:30.000","2023-11-14 15:38:30.000","2023-10-14 15:53:08.000","2023-10-14 16:58:31.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9241,"sub_1NezueCpjOdJI4gT2FGMouy1","2023-08-14",,"2023-08-14 09:30:24.000","2024-08-14 09:30:24.000","2023-08-14 09:30:24.000","2023-08-14 09:30:26.000","complete","active","12","Cartão de Crédito","mastercard",838.8,,,,
9510,"sub_1NfA3sCpjOdJI4gTCCQM3JOW","2023-08-14",,"2023-10-14 20:20:36.000","2023-11-14 20:20:36.000","2023-10-14 20:23:05.000","2023-10-14 21:24:37.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9269,"sub_1NfLNpCpjOdJI4gTDijKD3Lx","2023-08-15",,"2023-10-15 08:25:57.000","2023-11-15 08:25:57.000","2023-10-15 08:28:47.000","2023-10-16 17:44:26.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9474,"sub_1NfL8ACpjOdJI4gTX0MfRpXT","2023-08-15",,"2023-08-15 08:09:46.000","2024-08-15 08:09:46.000","2023-08-15 08:09:46.000","2023-08-15 14:11:54.000","complete","active","12","Boleto",,587.16,,"CAPIM30","oUu4Feil",
9598,"sub_1NfNHOCpjOdJI4gTxWfPkV5L","2023-08-15","2023-09-15","2023-08-15 10:27:26.000","2023-09-15 10:27:26.000","2023-08-15 10:27:26.000","2023-08-15 10:27:28.000","complete","canceled","1","Cartão de Crédito","mastercard",71.92,,"PREP20","cZ1wGhN0",
9213,"sub_1NfOx8CpjOdJI4gTgPzsya4n","2023-08-15",,"2023-10-15 12:14:38.000","2023-11-15 12:14:38.000","2023-10-15 12:24:51.000","2023-09-15 13:19:44.000","complete","past_due","1","Cartão de Crédito","mastercard",89.9,,,,
9229,"sub_1NfWFVCpjOdJI4gT3HVTAs6e","2023-08-15","2023-10-15","2023-09-15 20:02:05.000","2023-10-15 20:02:05.000","2023-09-15 20:04:09.000","2023-09-15 21:08:11.000","complete","canceled","1","Cartão de Crédito","visa",89.9,,,,
9076,"sub_1NfPi7CpjOdJI4gTvzsBs2s4","2023-08-15",,"2023-10-15 13:03:11.000","2023-11-15 13:03:11.000","2023-10-15 13:07:12.000","2023-10-15 14:07:36.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9408,"sub_1NfUEBCpjOdJI4gTXMbq55T8","2023-08-15",,"2023-10-15 17:52:34.000","2023-11-15 17:52:34.000","2023-10-15 18:21:41.000","2023-10-15 19:25:12.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
