"CLINIC_ID","CLINIC_CREATED_AT","BUSINESS_SEGMENTATION","IS_CHAIN_CLINIC","FIRST_USER_HUBSPOT_SOURCE","INTEREST_REASONS","INTEREST_CATEGORY_SIGNUP","HAS_INTEREST_BNPL","HAS_INTEREST_BNPL_ONLY","HAS_INTEREST_SAAS","TRIAL_DURATION","TRIAL_START_DATE","TRIAL_END_DATE","TRIAL_START_HOUR","TRIAL_START_HOUR_CATEGORY","TRIAL_START_DAY_OF_WEEK","TRIAL_START_DAY_OF_WEEK_CATEGORY","HAS_USER_CREATED","MARKETING_ATTRIBUITION","MARKETING_ATTRIBUITION_CHANNEL_GROUP","MARKETING_ATTRIBUITION_CAMPAIGN","MARKETING_ATTRIBUITION_CAMPAIGN_PRODUCT","MARKETING_ATTRIBUITION_AD_GROUP","IS_PAID_MEDIUM","HAS_ASKED_FOR_ACCREDITATION","HAS_STARTED_ACCREDITATION_AND_NOT_FINISHED","IS_ACCREDITATION_APPROVED","IS_ACCREDITATION_REPROVED","CLINIC_ACCREDITATION_STATUS","REQUEST_FINISHED_AT","ACCREDITATION_REQUESTED_AT","ACCREDITATION_APPROVED_AT","ACCREDITATION_REJECTED_AT"
"9480","2023-08-11 16:59:26.769","Independente",false,"Inbound","[""patients_management"", ""calendar"", ""bnpl""]","BNPL e SaaS",true,false,true,"7","2023-08-11","2023-08-18","16","Business Hours","5","Weekday",true,"Organic - search","Organic",,"None",,false,true,false,true,false,"Concluído","2023-08-19 11:09:12.573","2023-08-19 11:09:12.573","2023-08-21 10:34:21.004",
"9481","2023-08-11 17:24:47.474","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-11","2023-08-18","17","Business Hours","5","Weekday",true,"Organic - referral","Organic",,"None",,false,false,false,false,false,,,,,
"9482","2023-08-11 17:35:47.491","Rede Homologada",true,"Redes",,"Desconhecido",false,false,false,"7","2023-08-11","2023-08-18","17","Business Hours","5","Weekday",true,"Other","Other",,"None",,false,true,false,true,false,"Concluído","2023-08-07 12:37:48.324","2023-08-07 12:37:48.324","2023-08-11 17:35:51.344",
"9483","2023-08-11 17:44:07.172","Independente",false,"Inbound","[""bnpl"", ""calendar"", ""patients_management"", ""finance_management""]","BNPL e SaaS",true,false,true,"7","2023-08-11","2023-08-18","17","Business Hours","5","Weekday",true,"Paid - meta","Paid - meta","meta_fce_bnpl","BNPL",,true,false,true,false,false,"Incompleta",,,,
"9484","2023-08-11 18:15:06.558","Independente",false,"Inbound","[""calendar""]","Apenas SaaS",false,false,true,"7","2023-08-11","2023-08-18","18","Business Hours","5","Weekday",true,"Paid - google","Paid - google","google_search_branding_signup","Branding",,true,false,false,false,false,,,,,
"9485","2023-08-11 18:43:44.379","Rede Homologada",true,"Redes","[""patients_management""]","Apenas SaaS",false,false,true,"7","2023-08-11","2023-08-18","18","Business Hours","5","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"9486","2023-08-11 18:50:24.552","Independente",false,"Inbound","[""bnpl"", ""patients_management"", ""finance_management""]","BNPL e SaaS",true,false,true,"7","2023-08-11","2023-08-18","18","Business Hours","5","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","base-fria-55k-1",true,false,false,false,false,,,,,
"9487","2023-08-11 19:46:50.245","Independente",false,"Inbound","[""calendar""]","Apenas SaaS",false,false,true,"7","2023-08-11","2023-08-18","19","After Hours","5","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"9488","2023-08-11 19:47:26.840","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-11","2023-08-18","19","After Hours","5","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","lal-all-1",true,false,true,false,false,"Incompleta",,,,
"9489","2023-08-11 20:41:33.979","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-11","2023-08-18","20","After Hours","5","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"9490","2023-08-11 21:28:37.500","Independente",false,"Inbound","[""calendar""]","Apenas SaaS",false,false,true,"7","2023-08-11","2023-08-18","21","After Hours","5","Weekday",true,"Other","Other",,"None",,false,false,false,false,false,,,,,
"9491","2023-08-11 21:42:34.635","Independente",false,"Inbound","[""bnpl"", ""patients_management""]","BNPL e SaaS",true,false,true,"7","2023-08-11","2023-08-18","21","After Hours","5","Weekday",true,"Other","Other",,"None",,false,false,false,false,false,,,,,
"9492","2023-08-11 21:57:00.673","Independente",false,"Inbound","[""finance_management"", ""calendar"", ""patients_management""]","Apenas SaaS",false,false,true,"7","2023-08-11","2023-08-18","21","After Hours","5","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","base-fria-55k-1",true,false,false,false,false,,,,,
"9493","2023-08-11 22:13:16.960","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-11","2023-08-18","22","After Hours","5","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","interesses-validados",true,false,false,false,false,,,,,
"9494","2023-08-11 22:45:30.822","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"15","2023-08-11","2023-08-26","22","After Hours","5","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","lal-all-1",true,false,true,false,false,"Incompleta",,,,
"9495","2023-08-12 02:31:48.974","Independente",false,"Inbound","[""finance_management""]","Apenas SaaS",false,false,true,"7","2023-08-12","2023-08-19","2","After Hours","6","Weekend",true,"Paid - google","Paid - google","google_search_branding_signup","Branding",,true,false,false,false,false,,,,,
"9496","2023-08-12 02:44:10.850","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-12","2023-08-19","2","After Hours","6","Weekend",true,"Paid - google","Paid - google","google_search_financiamento_signup","BNPL",,true,false,false,false,false,,,,,
"9497","2023-08-12 03:59:46.182","Independente",false,"Inbound","[""finance_management""]","Apenas SaaS",false,false,true,"7","2023-08-12","2023-08-19","3","After Hours","6","Weekend",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
